Commit Message,Author,PR Link,Team,Change Type
chore: Performance instrumentation for adding a snap account (#13984),tommasini,https://github.com/MetaMask/metamask-mobile/pull/13984,team-mobile-platform,,Changed
fix: Move the SnapExecutionService render up in the stack (#13998),Cal Leung,https://github.com/MetaMask/metamask-mobile/pull/13998,team-mobile-platform,,Fixed
fix: Manage order for app services initialization (#13912),Cal Leung,https://github.com/MetaMask/metamask-mobile/pull/13912,team-mobile-platform,,Fixed
fix: margin incrementally applied to icon when bottom sheet opened (#13946),Daniel Cross,https://github.com/MetaMask/metamask-mobile/pull/13946,team-mobile-platform,,Fixed
feat: Implement tooltip component on mobile (#13860),Daniel Cross,https://github.com/MetaMask/metamask-mobile/pull/13860,team-mobile-platform,,Added
chore: upgrade NDK 26 on bitrise.yml (#13862),Andre Pimenta,https://github.com/MetaMask/metamask-mobile/pull/13862,team-mobile-platform,,Changed
chore: upgrade Xcode 16 on bitrise.yml (#13807),sethkfman,https://github.com/MetaMask/metamask-mobile/pull/13807,team-mobile-platform,,Changed
fix: tsdoc multi rpc for non evm networks (#13688),tommasini,https://github.com/MetaMask/metamask-mobile/pull/13688,team-mobile-platform,,Fixed
fix: receive network name in receive asset screen (#13746),tommasini,https://github.com/MetaMask/metamask-mobile/pull/13746,team-mobile-platform,,Fixed
chore: update network info component for non evm networks (#13734),tommasini,https://github.com/MetaMask/metamask-mobile/pull/13734,team-mobile-platform,,Changed
chore: Enable key caching of keyring controller (#13675),tommasini,https://github.com/MetaMask/metamask-mobile/pull/13675,team-mobile-platform,,Changed
feat(ramp): estimate gasLimit for ERC20 transfers (sell feature) (#12467),AxelGes,https://github.com/MetaMask/metamask-mobile/pull/12467,team-ramp,,Added
feat(ramp): payment method selector UI update (#13722),George Weiler,https://github.com/MetaMask/metamask-mobile/pull/13722,team-ramp,,Added
feat(ramp): enable non-evm support for Ramp buy only (#13718),Pedro Pablo Aste Kompen,https://github.com/MetaMask/metamask-mobile/pull/13718,team-ramp,,Added
fix: fixes ramp quote selection test (#13756),George Weiler,https://github.com/MetaMask/metamask-mobile/pull/13756,team-ramp,,Changed
refactor: Update Snaps-related controllers to use modular initialisation (#13971),Maarten Zuidhoorn,https://github.com/MetaMask/metamask-mobile/pull/13971,team-snaps-platform,,Changed
feat(snaps): Add Snap UI Skeleton component integration and mapping (#13966),David Drazic,https://github.com/MetaMask/metamask-mobile/pull/13966,team-snaps-platform,,Added
chore: Bump Babel (#13979),Frederik Bolding,https://github.com/MetaMask/metamask-mobile/pull/13979,team-snaps-platform,,Changed
fix: Use proper implementation for `getUnlockPromise` (#13947),Frederik Bolding,https://github.com/MetaMask/metamask-mobile/pull/13947,team-snaps-platform,,Fixed
chore: Bump axios (#13950),Frederik Bolding,https://github.com/MetaMask/metamask-mobile/pull/13950,team-snaps-platform,,Changed
chore: Update `CODEOWNERS` file for template renderer (#13918),Maarten Zuidhoorn,https://github.com/MetaMask/metamask-mobile/pull/13918,team-snaps-platform,,Changed
chore(snaps): Refactor Snap UI components folder structure (#13905),David Drazic,https://github.com/MetaMask/metamask-mobile/pull/13905,team-snaps-platform,,Changed
feat(snaps): Add icon next to SnapUILink (#13878),David Drazic,https://github.com/MetaMask/metamask-mobile/pull/13878,team-snaps-platform,,Added
fix: Deal with a couple of crashes when rendering Snaps UI (#13828),Frederik Bolding,https://github.com/MetaMask/metamask-mobile/pull/13828,team-snaps-platform,,Fixed
feat(snaps): Add Snap UI Spinner component (#13832),David Drazic,https://github.com/MetaMask/metamask-mobile/pull/13832,team-snaps-platform,,Added
ci: Use ubuntu-latest (#13844),Frederik Bolding,https://github.com/MetaMask/metamask-mobile/pull/13844,team-snaps-platform,,Changed
feat(snaps): Add support for full border radius for SnapUIImage (#13816),David Drazic,https://github.com/MetaMask/metamask-mobile/pull/13816,team-snaps-platform,,Added
fix: Improve Snaps UI spacing rules (#13797),Frederik Bolding,https://github.com/MetaMask/metamask-mobile/pull/13797,team-snaps-platform,,Changed
feat: Add Snaps UI `Selector` component (#13747),Frederik Bolding,https://github.com/MetaMask/metamask-mobile/pull/13747,team-snaps-platform,,Added
fix(deps): unpin ethereumjs-abi@0.6x ethereumjs-util@6.x (#11972),legobeat,https://github.com/MetaMask/metamask-mobile/pull/11972,Unknown,,Fixed
feat: Multi chain send flow (#13854),Owen Craston,https://github.com/MetaMask/metamask-mobile/pull/13854,Unknown,,Added
fix: Multichain balances (#13742),Owen Craston,https://github.com/MetaMask/metamask-mobile/pull/13742,Unknown,,Fixed
chore: cherry-pick #13740 (#13806),github-actions[bot],https://github.com/MetaMask/metamask-mobile/pull/13806,Unknown,,Ops
fix: cp-7.42.0  #13756 (fixes ramp quote selection test) (#13777),github-actions[bot],https://github.com/MetaMask/metamask-mobile/pull/13777,Unknown,,Changed
chore(runway): cherry-pick fix: cp-7.42.0 fix history transactions loading (#13983),runway-github[bot],https://github.com/MetaMask/metamask-mobile/pull/13983,team-runway-bot,,Ops
chore(runway): cherry-pick fix: cp-7.42.0 Move AssetsPollingProvider down a level to persist tab label (#13968),runway-github[bot],https://github.com/MetaMask/metamask-mobile/pull/13968,team-runway-bot,,Ops
chore(runway): cherry-pick fix: cp-7.42.0`Tokens` screen performance degradation (#13928),runway-github[bot],https://github.com/MetaMask/metamask-mobile/pull/13928,team-runway-bot,,Ops
chore(runway): cherry-pick fix: cp-7.42.0 enable notifications UI (#13906),runway-github[bot],https://github.com/MetaMask/metamask-mobile/pull/13906,team-runway-bot,,Ops
chore(runway): cherry-pick fix: cp-7.42.0 Display account label in re-designs confirmation page account info section (#13896),runway-github[bot],https://github.com/MetaMask/metamask-mobile/pull/13896,team-runway-bot,,Ops
chore(runway): cherry-pick fix: cp-7.42.0 Disable signature re-designs for ledger account (#13868),runway-github[bot],https://github.com/MetaMask/metamask-mobile/pull/13868,team-runway-bot,,Ops
chore(runway): cherry-pick fix: cp-7.42.0 improve performance of notifications loading when opening the app (#13811),runway-github[bot],https://github.com/MetaMask/metamask-mobile/pull/13811,team-runway-bot,,Ops
chore(runway): cherry-pick fix: cp-7.42.0 push notification settings bugs (#13785),runway-github[bot],https://github.com/MetaMask/metamask-mobile/pull/13785,team-runway-bot,,Ops
feat: STAKE-934 update staking hooks to consume earn controller selectors (#13939),Matthew Grainger,https://github.com/MetaMask/metamask-mobile/pull/13939,team-identity,,Added
chore: added staking team as codeowners for earn-controller files (#13940),Matthew Grainger,https://github.com/MetaMask/metamask-mobile/pull/13940,team-identity,,Changed
fix: Persist scrypt derived storage keys to Keychain/Keystore on iOS/Android (#13899),Mircea Nistor,https://github.com/MetaMask/metamask-mobile/pull/13899,team-identity,,Fixed
feat: bump profile-sync-controller and migrate to the controller init pattern (#13859),Mathieu Artu,https://github.com/MetaMask/metamask-mobile/pull/13859,team-identity,,Added
feat: STAKE-934: added earn-controller pooled staking selectors (#13875),Matthew Grainger,https://github.com/MetaMask/metamask-mobile/pull/13875,team-identity,,Added
feat: STAKE-934 add earn controller to engine (#13778),Matthew Grainger,https://github.com/MetaMask/metamask-mobile/pull/13778,team-identity,,Added
chore: update identity codeowners (#13855),Mathieu Artu,https://github.com/MetaMask/metamask-mobile/pull/13855,team-identity,,Changed
chore: update swaps destination token search text (#13605),Bryan Fullam,https://github.com/MetaMask/metamask-mobile/pull/13605,team-identity,,Changed
feat: added **/__mocks__/** to sonar.coverage.exclusions (#13787),Matthew Grainger,https://github.com/MetaMask/metamask-mobile/pull/13787,team-identity,,Added
feat: adding skeleton component (#13780),George Marshall,https://github.com/MetaMask/metamask-mobile/pull/13780,team-design-system,,Added
fix: error when asset chain is not available in account controller state (#13951),Bernardo Garces Chapero,https://github.com/MetaMask/metamask-mobile/pull/13951,team-mmi,,Fixed
fix: MMASSETS-626-new-rpc-no-confirmation (#13883),Bernardo Garces Chapero,https://github.com/MetaMask/metamask-mobile/pull/13883,team-mmi,,Fixed
chore: adds necessary initial code to work with non-evm transactions (#13954),António Regadas,https://github.com/MetaMask/metamask-mobile/pull/13954,team-sol,,Changed
fix: STX swap failures when needing to approve erc20 (#13653),infiniteflower,https://github.com/MetaMask/metamask-mobile/pull/13653,team-swaps-and-bridge,,Fixed
feat: bridge input screen (#13847),infiniteflower,https://github.com/MetaMask/metamask-mobile/pull/13847,team-swaps-and-bridge,,Added
chore: add workflow_dispatch to security-code-scanner (#13759),MetaMask Bot,https://github.com/MetaMask/metamask-mobile/pull/13759,team-bot,,Changed
chore: chore/7.42.0-Changelog (#13761),MetaMask Bot,https://github.com/MetaMask/metamask-mobile/pull/13761,team-bot,,Changed
feat: add bridge controllers to Engine (#13750),Amitabh Aggarwal,https://github.com/MetaMask/metamask-mobile/pull/13750,team-stake,,Added
Slack prod cfg (#13752),jake-perkins,https://github.com/MetaMask/metamask-mobile/pull/13752,team-dev-ops,,Unknown
fix(close bug report action): target branch name has been renamed stable (#13755),Gauthier Petetin,https://github.com/MetaMask/metamask-mobile/pull/13755,team-extension-platform,,Fixed
fix(sentry sampling): reduce by 25% our sentry trace sample rate to avoid exceeding our quota (#13745),Gauthier Petetin,https://github.com/MetaMask/metamask-mobile/pull/13745,team-extension-platform,,Fixed
